Metric, Avg. organic traffic, Organic pages, Organic traffic: Non-branded, Organic positions by intent: Informational, Organic positions by intent: Navigational, Organic positions by intent: Commercial, Organic positions by intent: Transactional, Organic positions by intent: Branded, Organic positions by intent: Local, Organic entities (positions): GL Homes, Organic entities (positions): DiVosta, Organic entities (positions): The Landing of Lake Worth, Organic entities (positions): Boca Delray Golf & Country Club, Organic entities (positions): DiVosta Homes
Volume, Monthly volume, -, Monthly volume, -, -, -, -, -, -, -, -, -, -, -
Location, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations
2020-08-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-08-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-08-31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-09-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-09-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-09-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-09-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-10-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-10-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-10-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-10-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-11-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-11-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-11-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-11-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-11-30, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
2020-12-07, 0, 1, 0, 2, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0
2020-12-14, 0, 1, 0, 2, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0
2020-12-21, 0, 1, 0, 2, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0
2020-12-28, 0, 2, 0, 3, 0, 1, 1, 3, 2, 0, 0, 0, 0, 0
2021-01-04, 0, 2, 0, 4, 0, 2, 2, 3, 3, 0, 0, 0, 0, 0
2021-01-11, 0, 3, 0, 4, 0, 2, 2, 3, 3, 0, 0, 0, 0, 0
2021-01-18, 0, 3, 0, 4, 0, 3, 2, 2, 3, 0, 0, 0, 0, 0
2021-01-25, 0, 3, 0, 2, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0
2021-02-01, 0, 2, 0, 2, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0
2021-02-08, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-02-15, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-02-22, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-03-01, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-03-08, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-03-15, 1, 2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
2021-03-22, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
2021-03-29, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
2021-04-05, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
2021-04-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2021-04-19, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-04-26, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-05-03, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-05-10, 0, 4, 0, 2, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0
2021-05-17, 0, 5, 0, 6, 0, 5, 2, 1, 6, 0, 0, 0, 0, 0
2021-05-24, 0, 5, 0, 10, 0, 8, 3, 2, 10, 0, 0, 0, 0, 0
2021-05-31, 0, 5, 0, 9, 0, 7, 3, 2, 9, 0, 0, 0, 0, 0
2021-06-07, 0, 5, 0, 8, 0, 6, 2, 2, 8, 0, 0, 0, 0, 0
2021-06-14, 0, 5, 0, 3, 0, 3, 1, 2, 3, 0, 0, 0, 0, 0
2021-06-21, 0, 2, 0, 2, 0, 2, 1, 2, 2, 0, 0, 0, 0, 0
2021-06-28, 0, 2, 0, 2, 0, 2, 1, 2, 2, 0, 0, 0, 0, 0
2021-07-05, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-07-12, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-07-19, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-07-26, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-08-02, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
2021-08-09, 0, 3, 0, 2, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0
2021-08-16, 0, 3, 0, 4, 0, 4, 1, 2, 4, 0, 1, 0, 0, 0
2021-08-23, 0, 3, 0, 4, 0, 4, 1, 2, 4, 0, 1, 0, 0, 0
2021-08-30, 0, 3, 0, 2, 0, 2, 1, 2, 2, 0, 1, 0, 0, 0
2021-09-06, 0, 2, 0, 2, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0
2021-09-13, 0, 1, 0, 2, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0
2021-09-20, 0, 5, 0, 5, 0, 5, 2, 0, 5, 0, 0, 0, 0, 0
2021-09-27, 0, 9, 0, 14, 0, 13, 5, 4, 13, 0, 0, 0, 0, 0
2021-10-04, 0, 12, 0, 30, 0, 25, 11, 12, 29, 1, 0, 0, 0, 0
2021-10-11, 0, 12, 0, 43, 0, 36, 17, 14, 42, 1, 0, 0, 0, 0
2021-10-18, 0, 11, 0, 55, 0, 46, 20, 19, 53, 2, 0, 0, 0, 0
2021-10-25, 0, 12, 0, 58, 0, 49, 20, 19, 55, 2, 0, 0, 0, 0
2021-11-01, 0, 13, 0, 54, 0, 44, 15, 19, 51, 2, 0, 0, 0, 0
2021-11-08, 0, 13, 0, 58, 0, 45, 13, 23, 55, 2, 0, 0, 0, 0
2021-11-15, 1, 16, 0, 69, 0, 54, 15, 28, 65, 2, 0, 0, 0, 0
2021-11-22, 2, 16, 0, 93, 0, 73, 17, 34, 89, 2, 0, 0, 1, 0
2021-11-29, 2, 16, 0, 98, 0, 74, 19, 34, 94, 2, 0, 0, 1, 0
